[ INFO ] [2018-11-12 11:09:33] com.github.ontio.OntsynhandlerApplication [50] - Starting OntsynhandlerApplication on sss.local with PID 1480 (/Users/sss/dev/localgit/javaProject/SidechainSynHandler/target/classes started by sss in /Users/sss/dev/localgit/javaProject/SidechainSynHandler)
[ INFO ] [2018-11-12 11:09:33] com.github.ontio.OntsynhandlerApplication [663] - The following profiles are active: uat
[ INFO ] [2018-11-12 11:09:33] org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext [590] - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@59fd97a8: startup date [Mon Nov 12 11:09:33 CST 2018]; root of context hierarchy
[ INFO ] [2018-11-12 11:09:35] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [328] - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$de7ccd59] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[ INFO ] [2018-11-12 11:09:35] org.springframework.ws.soap.addressing.server.AnnotationActionEndpointMapping [236] - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
[ INFO ] [2018-11-12 11:09:35] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [91] - Tomcat initialized with port(s): 20001 (http)
[ INFO ] [2018-11-12 11:09:35] org.apache.coyote.http11.Http11NioProtocol [180] - Initializing ProtocolHandler ["http-nio-20001"]
[ INFO ] [2018-11-12 11:09:35] org.apache.catalina.core.StandardService [180] - Starting service [Tomcat]
[ INFO ] [2018-11-12 11:09:35] org.apache.catalina.core.StandardEngine [180] - Starting Servlet Engine: Apache Tomcat/8.5.31
[ INFO ] [2018-11-12 11:09:35] org.apache.catalina.core.AprLifecycleListener [180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/sss/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
[ INFO ] [2018-11-12 11:09:35] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [180] - Initializing Spring embedded WebApplicationContext
[ INFO ] [2018-11-12 11:09:35] org.springframework.web.context.ContextLoader [285] - Root WebApplicationContext: initialization completed in 2065 ms
[ INFO ] [2018-11-12 11:09:36] org.springframework.boot.web.servlet.ServletRegistrationBean [186] - Servlet dispatcherServlet mapped to [/]
[ INFO ] [2018-11-12 11:09:36] org.springframework.boot.web.servlet.ServletRegistrationBean [186] - Servlet messageDispatcherServlet mapped to [/services/*]
[ INFO ] [2018-11-12 11:09:36] org.springframework.boot.web.servlet.FilterRegistrationBean [245] - Mapping filter: 'characterEncodingFilter' to: [/*]
[ INFO ] [2018-11-12 11:09:36] org.springframework.boot.web.servlet.FilterRegistrationBean [245] - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
[ INFO ] [2018-11-12 11:09:36] org.springframework.boot.web.servlet.FilterRegistrationBean [245] - Mapping filter: 'httpPutFormContentFilter' to: [/*]
[ INFO ] [2018-11-12 11:09:36] org.springframework.boot.web.servlet.FilterRegistrationBean [245] - Mapping filter: 'requestContextFilter' to: [/*]
[ INFO ] [2018-11-12 11:09:37] com.github.ontio.thread.MainChainThread [50] - ========MainChainThread.run=======
[ INFO ] [2018-11-12 11:09:37] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:37] com.zaxxer.hikari.HikariDataSource [110] - HikariPool-1 - Starting...
[ INFO ] [2018-11-12 11:09:38] com.zaxxer.hikari.HikariDataSource [123] - HikariPool-1 - Start completed.
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9988
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9989
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9990
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9991
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9992
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9993
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9994
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9995
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9996
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9997
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9998
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:9999
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10000
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10001
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
